2020-02-09 14:18:05.175 [main                ] [INFO ] RtNodeMasterApplication >>> Starting RtNodeMasterApplication on WIN-IQ534GK0C9P with PID 6452 (C:\Users\Administrator\Desktop\redtorch-github-sync\eclipse-workspace\redtorch-github\rt-node-master\bin\main started by Administrator in C:\Users\Administrator\Desktop\redtorch-github-sync\eclipse-workspace\redtorch-github\rt-node-master) 
2020-02-09 14:18:05.179 [main                ] [INFO ] RtNodeMasterApplication >>> No active profile set, falling back to default profiles: default 
2020-02-09 14:18:06.686 [main                ] [WARN ] jsr >>> UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used 
2020-02-09 14:18:06.714 [main                ] [INFO ] servlet >>> Initializing Spring embedded WebApplicationContext 
2020-02-09 14:18:06.714 [main                ] [INFO ] ContextLoader >>> Root WebApplicationContext: initialization completed in 1488 ms 
2020-02-09 14:18:06.803 [main                ] [INFO ] MongoDBClient >>> 连接MongoDB Host:127.0.0.1 Port:27017 
2020-02-09 14:18:06.951 [main                ] [INFO ] MongoDBClient >>> 使用无认证方式连接MongoDB 
2020-02-09 14:18:06.974 [main                ] [INFO ] cluster >>> Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=300000} 
2020-02-09 14:18:07.008 [main                ] [INFO ] MongoDBClient >>> 连接MongoDB Host:127.0.0.1 Port:27017 
2020-02-09 14:18:07.008 [main                ] [INFO ] MongoDBClient >>> 使用无认证方式连接MongoDB 
2020-02-09 14:18:07.009 [main                ] [INFO ] cluster >>> Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=300000} 
2020-02-09 14:18:07.009 [main                ] [INFO ] MongoDBClient >>> 连接MongoDB Host:127.0.0.1 Port:27017 
2020-02-09 14:18:07.009 [main                ] [INFO ] MongoDBClient >>> 使用无认证方式连接MongoDB 
2020-02-09 14:18:07.010 [main                ] [INFO ] cluster >>> Cluster created with settings {hosts=[127.0.0.1:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=300000} 
2020-02-09 14:18:07.040 [cluster-ClusterId{value='5e3fa41fc7e89c44fa3f4a2f', description='null'}-127.0.0.1:27017] [INFO ] connection >>> Opened connection [connectionId{localValue:3, serverValue:103}] to 127.0.0.1:27017 
2020-02-09 14:18:07.040 [cluster-ClusterId{value='5e3fa41ec7e89c44fa3f4a2d', description='null'}-127.0.0.1:27017] [INFO ] connection >>> Opened connection [connectionId{localValue:1, serverValue:102}] to 127.0.0.1:27017 
2020-02-09 14:18:07.040 [cluster-ClusterId{value='5e3fa41fc7e89c44fa3f4a2e', description='null'}-127.0.0.1:27017] [INFO ] connection >>> Opened connection [connectionId{localValue:2, serverValue:104}] to 127.0.0.1:27017 
2020-02-09 14:18:07.045 [cluster-ClusterId{value='5e3fa41fc7e89c44fa3f4a2f', description='null'}-127.0.0.1:27017] [INFO ] cluster >>> Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 0, 9]}, minWireVersion=0, maxWireVersion=7, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2927617} 
2020-02-09 14:18:07.045 [cluster-ClusterId{value='5e3fa41fc7e89c44fa3f4a2e', description='null'}-127.0.0.1:27017] [INFO ] cluster >>> Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 0, 9]}, minWireVersion=0, maxWireVersion=7, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2930689} 
2020-02-09 14:18:07.045 [cluster-ClusterId{value='5e3fa41ec7e89c44fa3f4a2d', description='null'}-127.0.0.1:27017] [INFO ] cluster >>> Monitor thread successfully connected to server with description ServerDescription{address=127.0.0.1:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[4, 0, 9]}, minWireVersion=0, maxWireVersion=7, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=2883073} 
2020-02-09 14:18:07.079 [main                ] [INFO ] connection >>> Opened connection [connectionId{localValue:4, serverValue:105}] to 127.0.0.1:27017 
2020-02-09 14:18:07.429 [main                ] [INFO ] ThreadPoolTaskExecutor >>> Initializing ExecutorService 'applicationTaskExecutor' 
2020-02-09 14:18:07.701 [main                ] [INFO ] xnio >>> XNIO version 3.3.8.Final 
2020-02-09 14:18:07.712 [main                ] [INFO ] nio >>> XNIO NIO Implementation Version 3.3.8.Final 
2020-02-09 14:18:07.790 [main                ] [INFO ] UndertowServletWebServer >>> Undertow started on port(s) 9099 (http) with context path '' 
2020-02-09 14:18:07.794 [main                ] [INFO ] RtNodeMasterApplication >>> Started RtNodeMasterApplication in 3.174 seconds (JVM running for 3.618) 
2020-02-09 14:18:12.182 [pool-7-thread-1     ] [INFO ] connection >>> Opened connection [connectionId{localValue:5, serverValue:106}] to 127.0.0.1:27017 
2020-02-09 14:18:19.786 [XNIO-1 task-1       ] [INFO ] servlet >>> Initializing Spring DispatcherServlet 'dispatcherServlet' 
2020-02-09 14:18:19.786 [XNIO-1 task-1       ] [INFO ] DispatcherServlet >>> Initializing Servlet 'dispatcherServlet' 
2020-02-09 14:18:19.793 [XNIO-1 task-1       ] [INFO ] DispatcherServlet >>> Completed initialization in 7 ms 
2020-02-09 14:18:19.870 [XNIO-1 task-1       ] [INFO ] WebSocketServerHandler >>> 连接已建立,节点ID:10000,会话ID:09616da5-dafb-fe30-7d9a-812b35f3413f,需要验证登录信息 
2020-02-09 14:18:19.876 [XNIO-1 task-1       ] [INFO ] NodeServiceImpl >>> 节点审核成功,节点ID:10000 
2020-02-09 14:18:19.877 [XNIO-1 task-1       ] [INFO ] WebSocketServerHandler >>> 验证登录信息成功,节点ID:10000,远程地址:/127.0.0.1:32303 
2020-02-09 14:18:19.880 [pool-5-thread-2     ] [INFO ] WebSocketServerHandler >>> 节点数据队列处理线程启动！节点ID:10000 
2020-02-09 14:18:26.854 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:57,请求ID:14b2c480-3ae5-4df2-90ef-61d397ee9ab1,内容类型:ROUTINE,时间戳:1581229106788 
2020-02-09 14:18:26.860 [pool-12-thread-1    ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:14b2c480-3ae5-4df2-90ef-61d397ee9ab1,RPC:SYNC_SLAVE_NODE_RUNTIME_DATA_REQ 
2020-02-09 14:18:26.906 [pool-12-thread-1    ] [INFO ] RpcServerProcessServiceImpl >>> 发送RPC记录,目标节点ID:10000,请求ID:14b2c480-3ae5-4df2-90ef-61d397ee9ab1,RPC:SYNC_SLAVE_NODE_RUNTIME_DATA_RSP 
2020-02-09 14:18:27.182 [XNIO-1 I/O-5        ] [INFO ] WebSocketServerHandler >>> 收到PONG,节点ID:10000,会话ID:09616da5-dafb-fe30-7d9a-812b35f3413f,延时3ms 
2020-02-09 14:18:30.329 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1009,请求ID:,内容类型:ROUTINE,时间戳:1581229110327 
2020-02-09 14:18:30.332 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:CONTRACT_LIST_RTN 
2020-02-09 14:18:30.367 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1005,请求ID:,内容类型:ROUTINE,时间戳:1581229110366 
2020-02-09 14:18:30.368 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1005,请求ID:,内容类型:ROUTINE,时间戳:1581229110367 
2020-02-09 14:18:30.369 [pool-3-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:ACCOUNT_RTN 
2020-02-09 14:18:30.369 [pool-3-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:ACCOUNT_RTN 
2020-02-09 14:18:31.389 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1009,请求ID:,内容类型:ROUTINE,时间戳:1581229111346 
2020-02-09 14:18:31.397 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:CONTRACT_LIST_RTN 
2020-02-09 14:18:31.619 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1010,请求ID:,内容类型:ROUTINE,时间戳:1581229111618 
2020-02-09 14:18:31.621 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:POSITION_LIST_RTN 
2020-02-09 14:18:31.723 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1010,请求ID:,内容类型:ROUTINE,时间戳:1581229111722 
2020-02-09 14:18:31.723 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:POSITION_LIST_RTN 
2020-02-09 14:18:32.866 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1005,请求ID:,内容类型:ROUTINE,时间戳:1581229112865 
2020-02-09 14:18:32.866 [pool-3-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:ACCOUNT_RTN 
2020-02-09 14:18:32.869 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1005,请求ID:,内容类型:ROUTINE,时间戳:1581229112868 
2020-02-09 14:18:32.869 [pool-3-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:ACCOUNT_RTN 
2020-02-09 14:18:34.116 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1010,请求ID:,内容类型:ROUTINE,时间戳:1581229114116 
2020-02-09 14:18:34.117 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:POSITION_LIST_RTN 
2020-02-09 14:18:34.221 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1010,请求ID:,内容类型:ROUTINE,时间戳:1581229114220 
2020-02-09 14:18:34.221 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:POSITION_LIST_RTN 
2020-02-09 14:18:35.365 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1005,请求ID:,内容类型:ROUTINE,时间戳:1581229115365 
2020-02-09 14:18:35.366 [pool-3-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:ACCOUNT_RTN 
2020-02-09 14:18:35.370 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1005,请求ID:,内容类型:ROUTINE,时间戳:1581229115369 
2020-02-09 14:18:35.370 [pool-3-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:ACCOUNT_RTN 
2020-02-09 14:18:36.615 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1010,请求ID:,内容类型:ROUTINE,时间戳:1581229116615 
2020-02-09 14:18:36.616 [pool-2-thread-1     ] [INFO ] RpcServerProcessServiceImpl >>> 处理RPC记录,来源节点ID:10000,请求ID:,RPC:POSITION_LIST_RTN 
2020-02-09 14:18:36.717 [pool-5-thread-2     ] [INFO ] RpcServerProcessServiceImpl >>> 处理DEP记录,来源节点ID:10000,RPC类型:CORE_RPC,RPC ID:1010,请求ID:,内容类型:ROUTINE,时间戳:1581229116716 
